统计,,,,,,,,,,,
最大值,7.2,@,29,,,,,,,,
最小值,0.0,@,1,,,,,,,,
平均值,2.72,,,,,,,,,,
数据数量,309,,,,,,,,,,
NG次数,0,,,,,,,,,,
数量,力量,单位,位移,单位,合格判定,姿势,时间,日期,测定者,
287,0.0,N,0.000,mm,OK,--,0:21:50,2024/10/10,--,
288,0.0,N,0.000,mm,OK,--,0:21:50,2024/10/10,--,
289,0.0,N,0.000,mm,OK,--,0:21:50,2024/10/10,--,
290,0.0,N,0.000,mm,OK,--,0:21:51,2024/10/10,--,
291,0.0,N,0.000,mm,OK,--,0:21:51,2024/10/10,--,
292,0.0,N,0.000,mm,OK,--,0:21:51,2024/10/10,--,
293,0.0,N,0.000,mm,OK,--,0:21:51,2024/10/10,--,
294,0.0,N,0.000,mm,OK,--,0:21:51,2024/10/10,--,
295,0.0,N,0.000,mm,OK,--,0:21:51,2024/10/10,--,
296,0.0,N,0.000,mm,OK,--,0:21:51,2024/10/10,--,
297,0.0,N,0.000,mm,OK,--,0:21:51,2024/10/10,--,
298,0.0,N,0.000,mm,OK,--,0:21:51,2024/10/10,--,
299,0.0,N,0.000,mm,OK,--,0:21:51,2024/10/10,--,
300,0.0,N,0.000,mm,OK,--,0:21:52,2024/10/10,--,
301,0.0,N,0.000,mm,OK,--,0:21:52,2024/10/10,--,
302,0.0,N,0.000,mm,OK,--,0:21:52,2024/10/10,--,
303,0.0,N,0.000,mm,OK,--,0:21:52,2024/10/10,--,
304,0.0,N,0.000,mm,OK,--,0:21:52,2024/10/10,--,
305,0.0,N,0.000,mm,OK,--,0:21:52,2024/10/10,--,
306,0.0,N,0.000,mm,OK,--,0:21:52,2024/10/10,--,
307,0.0,N,0.000,mm,OK,--,0:21:52,2024/10/10,--,
308,0.0,N,0.000,mm,OK,--,0:21:52,2024/10/10,--,
309,0.0,N,0.000,mm,OK,--,0:21:52,2024/10/10,--,
